Region,ID,Description,X,Y,Z,LidarZ,LC,Class,opus_z_precision
North,21,Lonoke Park,600612.683,3849204.812,73.62,73.684,Asphalt,Open,
North,22,Lonoke HS Parking,600123.308,3849067.23,73.852,73.973,Asphalt,Open,
North,26,England HS Parking,595917.787,3822919.619,68.964,69.088,Asphalt,Open,
North,39,Carlisle Park,614680.847,3850053.041,70.818,70.955,Asphalt,Open,
South,8,5800-50063355,613953.929,3805055.048,58.563,58.518,Asphalt,Open,0.052
South,6,5800-50063363,622513.666,3789251.471,55.324,55.204,Asphalt,Open,0.042
South,9,5700-21303367,638050.134,3804414.563,60.739,60.799,Asphalt,Open,0.024
South,1,5700-2130335a,640392.332,3781415.721,55.451,55.497,Dirt,Open,0.028
South,5,5700-21303358,648601.66,3776364.72,56.678,56.735,Dirt,Open,0.028
South,12,5700-21303363,624183.981,3801764.491,55.39,55.282,Dirt,Open,0.043
North,24,Levee catfish pond,603622.957,3839138.365,66.894,66.943,Dirt,Open,
North,29,Hwy 165,609557.872,3822913.284,62.179,62.232,Dirt,Open,
North,30,Red Wine Road,595283.837,3834657.682,68.135,68.143,Dirt,Open,
North,34,Buffalo Slough 2,621374.837,3823741.919,59.692,59.721,Dirt,Open,
South,2,5800-50063356,618747.324,3806693.52,56.556,56.429,Forest,Closed,0.03
North,32,Smoke Hole Forest,624105.134,3834503.168,60.056,60.305,Forest,Closed,
North,33,Buffalo Slough 1,622133.949,3823854.601,58.47,58.895,Forest,Closed,
South,14,5700-21303359,645958.406,3780672.304,53.312,53.484,Forest,Closed,0.04
South,15,5700-21303357,647472.822,3773366.688,53.846,53.894,Forest,Closed,0.031
South,16,5700-21303356,643765.28,3772361.851,53.16,53.197,Forest,Closed,0.032
South,17,5700-21303355,650086.685,3769389.708,54.321,54.26,Forest,Closed,0.031
South,7,5800-50063362,626030.073,3786155.853,54.766,54.709,Grass,Open,0.031
South,10,5700-21303365,626172.18,3812278.026,59.178,59.119,Grass,Open,0.029
South,13,5700-21303361,627574.352,3795165.887,56.088,56.096,Grass,Open,0.026
North,23,Lonoke HS Field,600086.432,3848997.568,73.744,73.912,Grass,Open,
North,25,England HS Field,595885.768,3822745.504,68.815,68.968,Grass,Open,
North,27,England Park,595051.538,3822407.152,69.641,69.861,Grass,Open,
North,28,Hwy 15,596576.112,3816896.896,66.175,66.315,Grass,Open,
North,31,Smoke Hole Levee,624170.221,3834602.47,60.088,60.362,Grass,Open,
North,40,Carlisle Baseball Park,615943.176,3851221.851,73.233,73.251,Grass,Open,
North,41,Cypress Creek Rd,587354.667,3844124.237,72.54,72.464,Grass,Open,
South,3,5700-21303366,630719.276,3813426.874,63.635,63.589,Scrub,Closed,0.024
South,4,5700-21303352,646987.792,3789553.855,57.007,57.186,Scrub,Closed,0.038
South,11,5700-21303364,628180.997,3807740.34,58.784,58.785,Scrub,Closed,0.029
North,35,Buffalo Slough 3,621419.343,3822781.697,58.153,58.362,Scrub,Closed,
North,36,Daniels Road,611986.577,3834238.127,62.67,62.801,Scrub,Closed,
North,37,Prairie Bayou WMA 1,617121.507,3841402.706,68.507,68.805,Scrub,Closed,
South,18,5700-21303353,630588.117,3802366.242,57.746,57.716,Scrub,Closed,0.027
South,19,5700-21303351,644025.039,3796262.281,52.502,52.51,Scrub,Closed,0.036
South,20,5700-21303350,637221.401,3811352.454,60.918,60.965,Scrub,Closed,0.033
