x  y	elev   conc
923 1079142 900549  3181    4.5
922	1079408	901237	3165	7
920	1078595	901003	3223	24
921	1078769	901551	3217	2
917	1078114	902353	3195	4.5
908	1077706	902940	3219	291
909A	1077782	903279	3210	128
909B	1077787	903276	3242	1
M-17	1077786	902610	3272	76
907	1077783	902100	3240	2
HLA-1	1077549	903063	3235	149
HLA-2	1077625	903481	3204	149
107	1076756	904201	3206	631
905	1076269	904793	3245	178
103A	1075951	905146	3218	43
103B	1075951	905157	3232	50
100	1076865	903624	3231	1295
101B	1076479	904007	3244	941
102A	1076092	904632	3223	805
102B	1076105	904632	3236	1010
915	1078406	902581	3235	3.3
