x y v  u
1 1 87 22
1 2 77 16
1 3 75 14
1 4 74 14
1 5 77 15
1 6 89 21
1 7 88 21
1 8 82 16
1 9 82 16
1 10 81 15
2 1 100 28
2 2 84 17
2 3 80 15
2 4 80 15
2 5 82 16 
2 6 88 18
2 7 70 8
2 8 74 9
2 9 61 7
2 10 77 12
3 1 47 4
3 2 74 11
3 3 83 15
3 4 85 15
3 5 86 16
3 6 94 20
3 7 103 27
3 8 97 22
3 9 110 34
3 10 103 24
4 1 111 32
4 2 108 29
4 3 87 15
4 4 90 16
4 5 101 23
4 6 110 27
4 7 111 27
4 8 105 24
4 9 121 36
4 10 112 27
5 1 124 38
5 2 121 37
5 3 94 16
5 4 97 17
5 5 109 24
5 6 116 29
5 7 122 32
5 8 112 25
5 9 119 29
5 10 123 30
6 1 109 20
6 2 143 55
6 3 99 17
6 4 101 18
6 5 113 25
6 6 108 19
6 7 64 4
6 8 91 10
6 9 77 7
6 10 19 0
7 1 0 0
7 2 91 11
7 3 95 13
7 4 96 14
7 5 79 7
7 6 73 7 
7 7 84 10
7 8 73 7
7 9 52 4
7 10 40 2
8 1 98 14
8 2 52 3
8 3 48 2
8 4 72 6
8 5 102 15
8 6 107 16
8 7 105 15
8 8 115 19
8 9 111 18
8 10 111 18
9 1 134 31
9 2 136 34
9 3 139 40
9 4 128 28
9 5 120 21
9 6 118 19
9 7 113 17
9 8 118 19
9 9 117 18
9 10 114 18
10 1 144 34
10 2 144 35
10 3 145 38
10 4 130 25
10 5 121 20
10 6 127 22
10 7 123 19
10 8 129 22
10 9 124 20
10 10 120 18
